#,Conta de origem,Data/Hora (UTC),Data/Hora (São Paulo),ID do Post,Conteúdo,Tradução (PT-BR),Síntese (1 linha),Link do Post,Mídia,Categoria,Imagem
1,@swyx,2026-08-13 23:44:48,2026-08-13 20:44:48,2088049159509344265,"!!!!!

it's been a huge huge pleasure to serve @arizeai these past years with AIE, and this could not happen to better people. Dynarize is now a globally trusted $14B observability powerhouse that just got one of the best AI-native US teams in this business. 

if you're interested to learn more, come to @aidotengineer NYC this fall: https://t.co/9j7D5tVfOg where they are the first non-bigcloud to be an AIE presenting sponsor!!","!!!!!

Foi um enorme prazer servir a @arizeai nesses últimos anos com a AIE, e isso não poderia acontecer com pessoas melhores. A Dynarize agora é uma potência global de observabilidade de US$ 14B de confiança que acabou de obter uma das melhores equipes nativas de IA dos EUA neste negócio.

Se você estiver interessado em saber mais, venha ao @aidotengineer NYC neste outono: https://t.co/9j7D5tVfOg onde eles são o primeiro non-bigcloud a ser um patrocinador apresentador da AIE!!",Swyx celebra a aquisição da Arize AI pela Dynatrace e promove evento AIE NYC.,https://x.com/swyx/status/2088049159509344265,Sim (quoted image),ai,https://pbs.twimg.com/media/HPmDb6taUAAt57o.jpg
2,@emollick,2026-08-13 23:17:41,2026-08-13 20:17:41,2088042334902755683,"To the extent that AI use boosts firm performance, some early signs here that early AI adopting firms that were already doing well may start to outpace others.

Data from OpenAI shows some firms are using AI much more, and they tend to be firms with the most productive employees.","Na medida em que o uso de IA impulsiona o desempenho das empresas, alguns sinais iniciais aqui de que empresas que adotaram IA cedo e já estavam indo bem podem começar a superar as outras.

Dados da OpenAI mostram que algumas empresas estão usando IA muito mais, e elas tendem a ser empresas com os funcionários mais produtivos.",Dados da OpenAI sugerem que empresas que adotam IA cedo e produtivas estão se distanciando.,https://x.com/emollick/status/2088042334902755683,Sim (3 imagens),ai,https://pbs.twimg.com/media/HPo3b8XagAEDHT0.jpg
3,@levelsio,2026-08-13 23:07:44,2026-08-13 20:07:44,2088039833432109522,A new guy is making money on the internet!!!,Um novo cara está ganhando dinheiro na internet!!!,Levelsio celebra que um novo empreendedor conseguiu seu primeiro cliente online.,https://x.com/levelsio/status/2088039833432109522,Sim (quoted image),ai,https://pbs.twimg.com/media/HPo0sxsaMAARFXu.jpg
4,@elonmusk,2026-08-13 22:58:33,2026-08-13 19:58:33,2088037519312994480,Tesla self-driving is amazing,A direção autônoma da Tesla é incrível,Elon Musk destaca a excelência da direção autônoma da Tesla em vídeo.,https://x.com/elonmusk/status/2088037519312994480,Vídeo,ai,
5,@grok,2026-08-13 22:47:12,2026-08-13 19:47:12,2088034663004770667,Use Grok 4.6 for CAD,Use o Grok 4.6 para CAD,Grok recomenda Grok 4.6 para trabalhos agentic de CAD com ótimo custo-benefício.,https://x.com/grok/status/2088034663004770667,Citação com vídeo,ai,
6,@elonmusk,2026-08-13 22:42:58,2026-08-13 19:42:58,2088033597999473050,Grok 4.6,Grok 4.6,Elon compartilha feedback positivo de teste do Grok 4.6 em kernel e modding.,https://x.com/elonmusk/status/2088033597999473050,Citação,ai,
7,@theo,2026-08-13 22:39:53,2026-08-13 19:39:53,2088032824259641698,Hey I know that guy,"Ei, eu conheço esse cara",Theo reage ao anúncio de sua palestra na Abstract Conference da Convex.,https://x.com/theo/status/2088032824259641698,Citação com vídeo,ai,
8,@levelsio,2026-08-13 22:15:04,2026-08-13 19:15:04,2088026576474550757,"I don't know him but if I look him in the eyes like Larry David in Curb Your Enthusiasm I think he's telling the truth so he deserves a follow

He's switching from mobile apps to web apps!!

@willbakerships","Eu não o conheço, mas se eu olhar nos olhos dele como Larry David em Curb Your Enthusiasm, acho que ele está falando a verdade, então merece um follow

Ele está mudando de apps mobile para web apps!!

@willbakerships",Levelsio recomenda seguir criador que está migrando de apps mobile para web apps.,https://x.com/levelsio/status/2088026576474550757,Citação com vídeo,ai,
9,@elonmusk,2026-08-13 22:01:55,2026-08-13 19:01:55,2088023268871557481,Prosecute/Fauci,Processem o Fauci,Elon comenta post sobre acusações de Joe Rogan contra Fauci por mentiras sobre vacinas e abortos.,https://x.com/elonmusk/status/2088023268871557481,Citação com vídeo,ai,
10,@dair_ai,2026-08-13 15:53:02,2026-08-13 12:53:02,2087930434323959894,"A great read if you an AI dev.

Current context compactors retain 17% of the standing rules users give them.

Session Constraints are instructions like ""do not delete any emails until I confirm"" that bind the agent for the rest of the session. It turns out that compaction drops them silently.

Their evaluation suite, COMPINT, tests three settings, multi-turn chat, agentic trajectory, and long-horizon research. Compactors often leave the task worse off than running it without compaction at all.

Retention swings with the compactor, the prompt, the context length, the phrasing, and where the constraint was injected, so the loss is structural.

The fix is small. An SC-aware extractor running alongside the compactor recovers over 90% retention without touching the compactor or the model.

Paper: https://t.co/SQr9Uz7ek5

Track more trending AI papers in our academy:","Uma ótima leitura se você é um desenvolvedor de IA.

Os compactadores de contexto atuais retêm apenas 17% das regras permanentes que os usuários lhes dão.

Session Constraints são instruções como ""não exclua nenhum e-mail até eu confirmar"" que vinculam o agente pelo resto da sessão. Acontece que a compactação as descarta silenciosamente.

Seu conjunto de avaliação, COMPINT, testa três configurações: chat multi-turno, trajetória agêntica e pesquisa de longo horizonte. Os compactadores frequentemente deixam a tarefa pior do que executá-la sem compactação alguma.

A retenção varia com o compactador, o prompt, o comprimento do contexto, a formulação e onde a restrição foi injetada, então a perda é estrutural.

A correção é pequena. Um extrator consciente de SC rodando junto com o compactador recupera mais de 90% de retenção sem tocar no compactador ou no modelo.

Paper: https://t.co/SQr9Uz7ek5

Acompanhe mais papers de IA em tendência em nossa academia:",Paper mostra que compactadores de contexto retêm só 17% das Session Constraints; extrator SC-aware recupera >90% de retenção.,https://x.com/dair_ai/status/2087930434323959894,Foto: https://pbs.twimg.com/media/HPnRqfjaAAAleUW.jpg,ai,https://pbs.twimg.com/media/HPnRqfjaAAAleUW.jpg
