#,Conta de origem,Data/Hora (UTC),Data/Hora (São Paulo),ID do Post,Conteúdo,Tradução (PT-BR),Síntese (1 linha),Link do Post,Mídia,Categoria,Imagem
0,@demishassabis,2026-08-13 12:53:42,2026-08-13 09:53:42,2087885303855944001,"SL2T is our amazing sign-language-to-text model allows users to sign directly to their phones for the first time. Built in close collaboration with the Deaf community, it's a great example of the good that can be done with AI. Congrats to the team for the launch!","SL2T é nosso incrível modelo de linguagem de sinais para texto que permite aos usuários assinar diretamente em seus telefones pela primeira vez. Construído em estreita colaboração com a comunidade surda, é um ótimo exemplo do bem que pode ser feito com IA. Parabéns à equipe pelo lançamento!","Demis Hassabis anuncia o modelo SL2T de linguagem de sinais para texto, permitindo assinatura direta no celular.",https://x.com/demishassabis/status/2087885303855944001,Não,ai,
0,@levelsio,2026-08-13 12:51:42,2026-08-13 09:51:42,2087884802728796565,"You can just make your own coffee with a Hario V60 Dripper and it will be 5x to 10x cheaper than coffee pods

And it will taste better because you can get freshly roasted and ground coffee beans

Instead of whatever coffeeslop Nestle produces and sells you at 10x markup

Did you know coffee inside pods is 6-18 months old? While ground coffee from a local specialty roaster is 1 to 7 days old. A big difference in taste (better) and price (cheaper)

Coffee pods are a Nestle psyop","Você pode simplesmente fazer seu próprio café com um Hario V60 Dripper e será 5x a 10x mais barato que cápsulas de café

E terá um sabor melhor porque você pode obter grãos de café frescos torrados e moídos

Em vez do que seja o cafélixo que a Nestlé produz e vende a você com markup de 10x

Você sabia que o café dentro das cápsulas tem 6-18 meses? Enquanto o café moído de um torrador local especializado tem 1 a 7 dias. Uma grande diferença no sabor (melhor) e no preço (mais barato)

Cápsulas de café são uma psyop da Nestlé","Levelsio recomenda fazer café com Hario V60 em vez de cápsulas, por ser mais barato, fresco e saboroso.",https://x.com/levelsio/status/2087884802728796565,Foto,ai,https://pbs.twimg.com/media/HPmoKSuWkAAbFTK.jpg
1,@theo,2026-08-13 11:32:24,2026-08-13 08:32:24,2087864844800364857,Forgot that posting employment-related things at midnight results in the most unemployed people in the world replying the stupidest shit possible,Esqueci que postar coisas relacionadas a emprego à meia-noite resulta nas pessoas mais desempregadas do mundo respondendo as merdas mais estúpidas possíveis,Theo reclama que postar sobre emprego à meia-noite atrai respostas bobas de desempregados.,https://x.com/theo/status/2087864844800364857,Nenhuma,ai,
2,@TheRundownAI,2026-08-13 10:30:18,2026-08-13 07:30:18,2087849215842021513,"Top stories in AI today:

- SpaceXAI's Grok 4.6 storms the frontier
- Nate's Notebook: Why your AI still feels dumb
- Generate 100 ad hooks from customer feedback
- Dog that got an AI cancer vaccine now has a company","Principais histórias em IA hoje:

- Grok 4.6 da SpaceXAI invade a fronteira
- Nate's Notebook: Por que sua IA ainda parece burra
- Gere 100 ganchos de anúncios a partir do feedback de clientes
- Cão que recebeu uma vacina de câncer com IA agora tem uma empresa","Resumo das principais notícias de IA do dia, com destaque para o Grok 4.6, limitações das IAs, geração de anúncios e vacina de câncer com IA.",https://x.com/TheRundownAI/status/2087849215842021513,Foto,ai,https://pbs.twimg.com/media/HPmHy6lWkAA2fIO.jpg
3,@elonmusk,2026-08-13 08:44:13,2026-08-13 05:44:13,2087822520128823438,https://t.co/ToZHdbSK3E,https://t.co/ToZHdbSK3E,Elon Musk compartilha um vídeo.,https://x.com/elonmusk/status/2087822520128823438,Vídeo,ai,
4,@fchollet,2026-08-13 08:41:44,2026-08-13 05:41:44,2087821894581973426,"Test-time training was popularized during the ARC Prize 2024 competition, after being explored in particular by @MindsAI_Jack and team. To date, I believe ARC 1-2 are the only datasets where TTT strongly outperforms. It would be interesting if TTT started becoming more mainstream. I believe it has great potential.","O treinamento em tempo de teste (Test-Time Training) foi popularizado durante a competição ARC Prize 2024, após ser explorado em particular por @MindsAI_Jack e equipe. Até o momento, acredito que ARC 1-2 são os únicos conjuntos de dados onde o TTT supera fortemente. Seria interessante se o TTT começasse a se tornar mais mainstream. Acredito que tem grande potencial.","François Chollet destaca o potencial do Test-Time Training (TTT), popularizado no ARC Prize 2024, e sua eficácia em datasets ARC.",https://x.com/fchollet/status/2087821894581973426,Nenhuma,ai,
5,@swyx,2026-08-13 07:36:17,2026-08-13 04:36:17,2087805426750632290,"The @latentspacepod team and I will be speaking at Mongodb's .local buildfest today 10a-4pmish, come by!","A equipe do @latentspacepod e eu falaremos no .local buildfest da MongoDB hoje das 10h às 16h aproximadamente, venham!",Swyx e equipe Latent Space falam no MongoDB .local Buildfest hoje.,https://x.com/swyx/status/2087805426750632290,Nenhuma,ai,
6,@swyx,2026-08-13 07:12:26,2026-08-13 04:12:26,2087799423774646316,"completely bowled over by the incredible responses to the $10,000 Kill My SaaS hackathon this past weekend.",Completamente impressionado com as respostas incríveis ao hackathon Kill My SaaS de US$ 10.000 no fim de semana passado.,Swyx impressionado com respostas ao hackathon Kill My SaaS de $10k.,https://x.com/swyx/status/2087799423774646316,Foto,ai,
7,@theo,2026-08-13 06:26:38,2026-08-13 03:26:38,2087787897223344193,I will never in my life understand how people go this far and don't notice what they're doing,Eu nunca na minha vida vou entender como as pessoas vão tão longe e não notam o que estão fazendo,Incompreensão sobre pessoas que não percebem o extremo de suas próprias ações.,https://x.com/theo/status/2087787897223344193,Imagem,ai,https://pbs.twimg.com/media/HPlQB26aoAAg1sq.jpg
8,@elonmusk,2026-08-13 04:37:33,2026-08-13 01:37:33,2087760446212522196,https://t.co/irXUkk1duy,https://t.co/irXUkk1duy,Elon compartilha um vídeo.,https://x.com/elonmusk/status/2087760446212522196,Vídeo,ai,
9,@elonmusk,2026-08-13 04:36:03,2026-08-13 01:36:03,2087760069693997530,Grok 4.6 has a great sense of humor 😂,Grok 4.6 tem um ótimo senso de humor 😂,Elon elogia o senso de humor do Grok 4.6.,https://x.com/elonmusk/status/2087760069693997530,Nenhuma,ai,
10,@emollick,2026-08-13 04:26:45,2026-08-13 01:26:45,2087757725572939957,"Economic value comes from agents, not chatbots. And accuracy drives how long a task an agent can do: small gains compound exponentially!","O valor econômico vem de agentes, não de chatbots. E a precisão determina quanto tempo uma tarefa um agente pode fazer: pequenos ganhos se acumulam exponencialmente!","Mollick: valor econômico está em agentes e precisão que se compõe, não em chatbots.",https://x.com/emollick/status/2087757725572939957,Imagem,ai,
11,@JensenHuang,2026-08-13 04:18:36,2026-08-13 01:18:36,2087755674650603534,"The mighty A100 fleet are mission-capable from 2020 through 2029. NVIDIA computing is more than chips. CUDA gives developers and NVIDIA engineers a common platform to continually upgrade Ampere, Hopper and Blackwell throughout their useful lives.","A poderosa frota A100 é capaz de missão de 2020 a 2029. A computação NVIDIA é mais do que chips. O CUDA dá a desenvolvedores e engenheiros da NVIDIA uma plataforma comum para atualizar continuamente Ampere, Hopper e Blackwell ao longo de suas vidas úteis.",Jensen destaca a longevidade dos A100 e o papel do CUDA na versatilidade do compute NVIDIA.,https://x.com/JensenHuang/status/2087755674650603534,Nenhuma,ai,
